,Temperature,Latitude,Longitude,Humidity,Wind Speed,Cloud,Country,Date,City
285,28.47,33.35,64.4167,48,1.63,73,AF,1637192469,taywarah
286,8.01,53.0522,60.6467,96,3.91,56,RU,1637192469,kartaly
287,11.19,63.6445,54.856,85,6.46,98,RU,1637192470,nizhniy odes
288,44.65,40.973,-117.7357,26,13.8,1,US,1637192470,winnemucca
289,45.01,42.1584,-72.3287,68,4.61,90,US,1637192470,palmer
290,85.98,0.0389,-51.0664,74,9.22,40,BR,1637192470,macapa
291,34.21,44.382,125.1685,74,10.74,99,CN,1637192471,nongan
292,54.23,37.3191,-8.8033,58,7.83,8,PT,1637192471,aljezur
293,81.19,5.6667,73.0,79,15.86,94,MV,1637192471,ugoofaaru
294,5.92,53.1333,132.9,86,3.62,100,RU,1637192471,tokur
295,75.34,-28.783,32.0377,77,10.18,98,ZA,1637192472,richards bay
296,43.7,49.3539,9.1428,84,5.17,98,DE,1637192472,mosbach
297,64.89,-22.4667,-68.9333,9,25.32,5,CL,1637192472,calama
298,85.35,-3.6667,152.4333,58,0.69,54,PG,1637192473,namatanai
299,83.82,-9.0763,143.2092,78,8.32,99,PG,1637192473,daru
300,81.72,0.5412,123.0595,78,0.98,99,ID,1637192473,gorontalo
301,56.93,-29.9533,-71.3436,76,10.36,75,CL,1637192473,coquimbo
302,34.29,41.1436,35.4547,61,1.25,13,TR,1637192474,vezirkopru
303,37.45,64.2273,27.7285,100,9.22,90,FI,1637192474,kajaani
304,73.67,24.8,125.2833,78,6.91,75,JP,1637192474,hirara
305,49.41,45.5234,-122.6762,52,4.0,75,US,1637192203,portland
306,84.02,-2.6741,141.3028,72,3.85,56,PG,1637192475,vanimo
307,19.67,52.9647,43.4165,98,3.78,53,RU,1637192475,belinskiy
308,53.17,33.0559,113.7978,68,5.55,0,CN,1637192475,wencheng
309,80.46,10.9995,122.6711,83,7.72,99,PH,1637192476,dingle
310,67.15,23.4667,74.9167,54,9.78,99,IN,1637192476,sailana
311,76.82,14.0833,98.2,85,6.35,66,MM,1637192476,dawei
312,89.08,18.7333,-103.6833,71,3.13,70,MX,1637192477,coahuayana
313,47.12,36.9559,36.2,34,5.32,1,TR,1637192477,erzin
314,82.51,13.6408,16.4901,21,9.69,4,TD,1637192477,moussoro
315,64.04,-10.75,-77.7667,81,9.13,93,PE,1637192477,barranca
316,-13.22,73.5069,80.5464,95,3.83,87,RU,1637192478,dikson
317,50.7,41.3712,-73.414,76,1.01,90,US,1637192478,bethel
318,60.24,33.0833,-16.3333,82,17.27,75,PT,1637192478,camacha
319,26.71,64.2229,41.656,96,6.24,100,RU,1637192478,kholmogory
320,72.32,-35.1,173.7833,57,5.61,1,NZ,1637192479,kaeo
321,81.52,14.35,121.0167,79,2.3,75,PH,1637192479,san pedro
322,61.29,-23.4923,-58.7972,94,6.2,100,PY,1637192479,pozo colorado
323,80.83,-2.8856,-40.12,77,18.14,29,BR,1637192480,acarau
324,83.57,-22.0016,148.0466,45,16.67,6,AU,1637192480,moranbah
325,65.34,-24.5261,-49.9486,89,1.95,100,BR,1637192480,pirai do sul
326,65.03,32.6667,-17.1,74,7.58,18,PT,1637192480,ponta do sol
327,74.28,-2.65,10.0,92,2.1,61,GA,1637192481,gamba
328,-17.91,66.0,111.5,99,5.53,72,RU,1637192481,aykhal
329,27.43,51.226,-58.6502,71,10.92,29,CA,1637192481,saint-augustin
330,75.25,-17.9167,15.95,55,8.57,75,NA,1637192482,ondangwa
331,84.83,21.3469,-158.0858,65,9.22,1,US,1637192316,makakilo city
332,75.74,14.9215,-23.5087,83,8.05,75,CV,1637192482,praia
333,-22.41,66.4167,112.4,100,3.4,84,RU,1637192482,udachnyy
334,19.17,53.1939,107.3397,62,8.14,4,RU,1637192483,khuzhir
335,38.28,62.3153,27.873,94,9.91,100,FI,1637192483,varkaus
336,73.58,7.7669,-72.225,94,3.09,99,VE,1637192483,san cristobal
337,75.04,17.6,73.1667,87,4.38,50,IN,1637192483,dabhol
338,14.31,51.1,66.3167,96,9.06,92,KZ,1637192484,derzhavinsk
339,57.74,-34.0527,23.3716,84,12.17,99,ZA,1637192484,plettenberg bay
340,27.72,60.1432,-45.2371,78,4.16,100,GL,1637192484,nanortalik
341,33.08,44.3,86.0333,86,2.19,100,CN,1637192484,shihezi
342,80.55,12.524,-70.027,83,10.36,20,AW,1637192485,oranjestad
343,59.86,-22.116,14.2845,93,7.18,1,NA,1637192485,henties bay
344,47.05,42.9019,133.9064,79,3.18,62,RU,1637192485,preobrazheniye
345,55.62,24.9333,84.8333,57,3.94,4,IN,1637192485,tekari
346,4.84,65.5833,-171.0,92,9.86,58,RU,1637192486,lavrentiya
347,16.23,48.6814,71.6433,93,22.1,100,KZ,1637192486,atasu
348,65.52,21.85,111.9667,76,5.59,9,CN,1637192486,yangjiang
349,16.41,64.1835,-51.7216,67,11.5,1,GL,1637192443,nuuk
350,33.19,42.8,93.45,46,4.88,69,CN,1637192487,hami
351,-5.08,58.8353,125.4869,100,0.34,100,RU,1637192487,nizhniy kuranakh
352,70.93,24.1447,67.4497,24,12.8,0,PK,1637192487,keti bandar
353,1.83,67.6713,53.087,100,2.33,89,RU,1637192487,naryan-mar
354,35.78,66.0764,33.0381,98,8.12,100,RU,1637192488,loukhi
355,18.61,61.994,-49.6678,79,8.72,93,GL,1637192488,paamiut
356,35.74,42.1859,127.479,93,6.67,100,CN,1637192488,songjianghe
357,31.15,43.801,87.6005,75,2.24,100,CN,1637192489,urumqi
358,65.84,14.2,24.6667,34,7.18,2,SD,1637192489,kutum
359,78.01,18.7369,7.3853,16,5.79,1,NE,1637192489,arlit
360,65.88,31.7093,-98.9912,30,13.8,1,US,1637192261,brownwood
361,34.36,41.7597,86.1469,40,14.36,100,CN,1637192490,korla
362,32.85,40.2833,97.2,21,6.29,46,CN,1637192490,yumen
363,59.7,27.4327,120.6062,91,8.14,99,CN,1637192490,jinxiang
364,28.74,54.5777,41.8145,86,3.56,99,RU,1637192490,pitelino
365,37.33,63.4427,-20.2734,85,21.18,100,IS,1637192491,vestmannaeyjar
